title,actual_rating,lr_predicted_rating,rf_predicted_rating
Laila,5.2,6.866775045631045,7.351020000000001
Avatar: Fire and Ash,0.0,7.24279523982818,7.047729999999998
Captain Hook: The Cursed Tides,5.05,6.593096177440923,6.507209999999994
First Moon,4.082,6.645784751159884,6.51191
Wicked,6.922,7.170922728195673,7.285879999999997
The Fantastic 4: First Steps,7.034,6.870390224440331,7.070150000000002
One Battle After Another,7.493,7.164509199376694,7.635169999999996
Abyss,5.951,6.623810451653978,6.517650000000002
Wicked: For Good,6.772,6.977395002118316,6.911509999999998
Zootopia 2,7.729,6.992442321234009,6.81692
JUJUTSU KAISEN: Execution -Shibuya Incident x The Culling Game Begins-,4.8,6.624850106446925,6.372719999999996
Playdate,6.177,6.649919885357584,6.865769999999995
Monster Island,5.848,6.5493721374711775,6.387339999999997
The Gentleman,6.853,6.599609624234323,6.717449999999996
How the Grinch Stole Christmas,6.778,7.020052937089213,7.470400000000003
High Forces,6.1,6.859257290094547,6.6806999999999945
Our Fault,7.475,6.75231365045201,7.359439999999993
How to Train Your Dragon,7.99,6.907395960012956,7.28495
Art of Eight Limbs,6.484,6.716823096861932,6.466049999999995
Black Phone 2,6.868,6.7914126068511145,7.210689999999999
